,Project,LongName,Name,AD,CD,TCD,CLOC,TCLOC,PDA,TPDA,LLOC,LOC,TLOC,NG,TLLOC,TNA,TNG,TNM,TNOS,TNPM,NCL,ReuseRate,ReuseRate_lbl
0,ch.qos.logback/logback-classic,<root_package>,<root_package>,-1.0,-1.0,-0.2554458632317105,-1.0,-0.9597688601662228,-1.0,-0.9611942943209002,-1.0,-1.0,-0.9567486408272489,-1.0,-0.9596298558607422,-0.9080118694362018,-0.9523024508187713,-0.9566686139544335,-0.9419332348400591,-0.9628117643553146,-1.0,0.0,0
1,ch.qos.logback/logback-classic,ch,ch,-1.0,-1.0,-0.2534733586837501,-1.0,-0.9597688601662228,-1.0,-0.9611942943209002,-1.0,-1.0,-0.9568636710378147,-1.0,-0.9597920663846569,-0.9080118694362018,-0.9523024508187713,-0.9566686139544335,-0.9419332348400591,-0.9628117643553146,-1.0,0.0,0
2,ch.qos.logback/logback-classic,unnamed package,unnamed package,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9996608175357334,-0.9997122694369567,-0.9998849697894342,-1.0,-0.9998377894760854,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0
3,ch.qos.logback/logback-classic,ch.qos,qos,-1.0,-1.0,-0.2534733586837501,-1.0,-0.9597688601662228,-1.0,-0.9611942943209002,-1.0,-1.0,-0.9568636710378147,-1.0,-0.9597920663846569,-0.9080118694362018,-0.9523024508187713,-0.9566686139544335,-0.9419332348400591,-0.9628117643553146,-1.0,0.0,0
4,ch.qos.logback/logback-classic,ch.qos.logback,logback,-1.0,-1.0,-0.2534733586837501,-1.0,-0.9597688601662228,-1.0,-0.9611942943209002,-1.0,-1.0,-0.9568636710378147,-1.0,-0.9597920663846569,-0.9080118694362018,-0.9523024508187713,-0.9566686139544335,-0.9419332348400591,-0.9628117643553146,-1.0,0.0,0
5,ch.qos.logback/logback-classic,ch.qos.logback.classic,classic,-0.56923,-0.431301501836592,-0.2534733586837501,-0.9867104440275172,-0.9597688601662228,-0.9688715953307393,-0.9611942943209002,-0.9880756164906275,-0.9860904988339341,-0.9568636710378147,-0.9377537212449256,-0.9597920663846569,-0.9080118694362018,-0.9523024508187713,-0.9566686139544335,-0.9419332348400591,-0.9628117643553146,-0.9820828667413214,0.0,0
6,ch.qos.logback/logback-classic,ch.qos.logback.classic.boolex,boolex,0.25,-0.27272821548793613,-0.23742365243904429,-0.9974671669793621,-0.9992140081219161,-0.9944413563090606,-0.9991140249844954,-0.9984100821987503,-0.9979177393463973,-0.9991675445288,-0.9891745602165088,-0.9992396381691501,-0.9990869664460169,-0.9991207825035718,-0.9995936095095375,-0.9990206005876396,-0.9997616138740725,-0.9932810750279956,4.0,3
7,ch.qos.logback/logback-classic,ch.qos.logback.classic.db,db,0.0,-0.6043684135204701,-0.2868928486380061,-0.997936210131332,-0.9984377198472653,-0.9966648137854364,-0.9987596349782936,-0.9970321534376673,-0.9969031105188236,-0.9982321672902514,-0.9945872801082544,-0.9983272039721302,-0.9888153389637069,-0.9982415650071437,-0.9984252368494577,-0.997310801613519,-0.9992252450907357,-0.9932810750279956,0.0,0
8,ch.qos.logback/logback-classic,ch.qos.logback.classic.encoder,encoder,-1.0,-0.07024264585403073,-0.02510865629380088,-0.9995934959349594,-0.9998738531553693,-1.0,-1.0,-0.9998304087678667,-0.9997425568646455,-0.9998970782326516,-1.0,-0.9999188947380426,-1.0,-1.0,-0.9999492011886922,-0.99988380006972,-0.9999404034685181,-0.9977603583426652,5.307617129104063,4
9,ch.qos.logback/logback-classic,ch.qos.logback.classic.filter,filter,-0.5,-0.0028497769334013823,0.045555721078720746,-0.9984365228267668,-0.9995148198283432,-0.9977765425236242,-0.9996456099937981,-0.9994276295915501,-0.999091377169337,-0.9996367467034764,-1.0,-0.9997262697408941,-0.9995434832230085,-1.0,-0.9996952071321531,-0.9997344001593599,-0.9996424208111088,-0.9955207166853304,5.0,4
