;Project;LongName;Name;AD;CD;TCD;CLOC;TCLOC;PDA;TPDA;LLOC;LOC;TLOC;NG;TLLOC;TNA;TNG;TNM;TNOS;TNPM;NCL;ReuseRate
0;ch.qos.logback/logback-classic;<root_package>;<root_package>;0.0;0.0;0.342362;0;4146;0;219;0;0;14288;0;7964;403;217;853;3498;624;0;0
1;ch.qos.logback/logback-classic;ch;ch;0.0;0.0;0.343269;0;4146;0;219;0;0;14250;0;7932;403;217;853;3498;624;0;0
2;ch.qos.logback/logback-classic;unnamed package;unnamed package;0.0;0.0;0.0;0;0;0;0;32;38;38;0;32;0;0;0;0;0;0;0
3;ch.qos.logback/logback-classic;ch.qos;qos;0.0;0.0;0.343269;0;4146;0;219;0;0;14250;0;7932;403;217;853;3498;624;0;0
4;ch.qos.logback/logback-classic;ch.qos.logback;logback;0.0;0.0;0.343269;0;4146;0;219;0;0;14250;0;7932;403;217;853;3498;624;0;0
5;ch.qos.logback/logback-classic;ch.qos.logback.classic;classic;0.215385;0.274194;0.343269;425;4146;28;219;1125;1837;14250;23;7932;403;217;853;3498;624;8;0
6;ch.qos.logback/logback-classic;ch.qos.logback.classic.boolex;boolex;0.625;0.350649;0.350649;81;81;5;5;150;275;275;4;150;4;4;8;59;4;3;4
7;ch.qos.logback/logback-classic;ch.qos.logback.classic.db;db;0.5;0.190751;0.32790199999999997;66;161;3;7;280;409;584;2;330;49;8;31;162;13;3;0
8;ch.qos.logback/logback-classic;ch.qos.logback.classic.encoder;encoder;0.0;0.448276;0.448276;13;13;0;0;16;34;34;0;16;0;0;1;7;1;1;24
9;ch.qos.logback/logback-classic;ch.qos.logback.classic.filter;filter;0.25;0.48076899999999995;0.48076899999999995;50;50;2;2;54;120;120;0;54;2;0;6;16;6;2;5
10;ch.qos.logback/logback-classic;ch.qos.logback.classic.helpers;helpers;0.25;0.337838;0.337838;25;25;1;1;49;89;89;0;49;0;0;5;22;3;1;0
11;ch.qos.logback/logback-classic;ch.qos.logback.classic.html;html;0.266667;0.319703;0.319703;86;86;4;4;183;321;321;3;183;4;3;15;102;11;4;1
12;ch.qos.logback/logback-classic;ch.qos.logback.classic.jmx;jmx;0.09677419999999999;0.192635;0.192635;68;68;3;3;285;417;417;9;285;8;9;33;130;28;2;1
13;ch.qos.logback/logback-classic;ch.qos.logback.classic.joran;joran;0.166667;0.12903199999999998;0.24242399999999997;28;216;1;5;189;272;1092;0;675;29;2;42;317;27;3;0
14;ch.qos.logback/logback-classic;ch.qos.logback.classic.jul;jul;0.055555600000000004;0.201299;0.201299;31;31;1;1;123;184;184;0;123;3;0;18;50;16;2;3
15;ch.qos.logback/logback-classic;ch.qos.logback.classic.layout;layout;0.333333;0.245283;0.245283;13;13;1;1;40;62;62;0;40;2;0;2;21;2;1;1
16;ch.qos.logback/logback-classic;ch.qos.logback.classic.log4j;log4j;0.75;0.375;0.375;60;60;6;6;100;186;186;3;100;5;3;7;58;7;1;0
17;ch.qos.logback/logback-classic;ch.qos.logback.classic.net;net;0.48214300000000004;0.369151;0.400687;426;700;27;39;728;1339;2029;15;1047;56;26;121;415;70;12;0
18;ch.qos.logback/logback-classic;ch.qos.logback.classic.pattern;pattern;0.287879;0.387029;0.388587;555;572;19;20;879;1681;1724;6;900;32;7;67;421;36;29;0
19;ch.qos.logback/logback-classic;ch.qos.logback.classic.selector;selector;0.173913;0.327935;0.350404;81;130;4;5;166;294;444;13;241;4;13;29;92;25;2;0
20;ch.qos.logback/logback-classic;ch.qos.logback.classic.servlet;servlet;0.4;0.2375;0.2375;19;19;2;2;61;108;108;0;61;1;0;4;23;3;2;0
21;ch.qos.logback/logback-classic;ch.qos.logback.classic.sift;sift;0.466667;0.432367;0.432367;179;179;14;14;235;481;481;13;235;7;13;31;77;23;7;2
22;ch.qos.logback/logback-classic;ch.qos.logback.classic.spi;spi;0.213483;0.312286;0.312286;638;638;38;38;1405;2436;2436;84;1405;84;84;179;684;155;18;154
23;ch.qos.logback/logback-classic;ch.qos.logback.classic.turbo;turbo;0.38;0.46503500000000003;0.46503500000000003;399;399;19;19;459;980;980;11;459;32;11;54;181;44;10;13
24;ch.qos.logback/logback-classic;ch.qos.logback.classic.util;util;0.5;0.381471;0.381471;280;280;19;19;454;847;847;11;454;13;11;39;203;28;10;1
25;ch.qos.logback/logback-classic;ch.qos.logback.classic.db.names;names;0.266667;0.655172;0.655172;95;95;4;4;50;175;175;6;50;26;6;10;8;10;2;3
26;ch.qos.logback/logback-classic;ch.qos.logback.classic.joran.action;action;0.11428599999999998;0.278932;0.278932;188;188;4;4;486;820;820;2;486;24;2;28;217;24;11;1
27;ch.qos.logback/logback-classic;ch.qos.logback.classic.net.server;server;0.6;0.462057;0.462057;274;274;12;12;319;690;690;11;319;18;11;39;105;24;8;3
28;ch.qos.logback/logback-classic;ch.qos.logback.classic.pattern.color;color;1.0;0.44736800000000004;0.44736800000000004;17;17;1;1;21;43;43;1;21;0;1;1;6;0;1;1
29;ch.qos.logback/logback-classic;ch.qos.logback.classic.selector.servlet;servlet;0.14285699999999998;0.39516100000000004;0.39516100000000004;49;49;1;1;75;150;150;0;75;0;0;5;27;5;2;1
30;com.android.support/appcompat-v7;<root_package>;<root_package>;0.0;0.0;0.283848;0;12621;0;864;0;0;51116;0;31843;1426;668;3443;14292;2655;0;0
31;com.android.support/appcompat-v7;android;android;0.0;0.0;0.283848;0;12621;0;864;0;0;51116;0;31843;1426;668;3443;14292;2655;0;0
32;com.android.support/appcompat-v7;android.support;support;0.0;0.0;0.283848;0;12621;0;864;0;0;51116;0;31843;1426;668;3443;14292;2655;0;0
33;com.android.support/appcompat-v7;android.support.v7;v7;0.0;0.0;0.283848;0;12621;0;864;0;0;51116;0;31843;1426;668;3443;14292;2655;0;0
34;com.android.support/appcompat-v7;android.support.v7.app;app;0.609005;0.325728;0.325728;3355;3355;257;257;6945;11747;11747;114;6945;327;114;818;2902;641;77;270
35;com.android.support/appcompat-v7;android.support.v7.content;content;0.0;0.0;0.330544;0;158;0;3;0;0;555;0;320;7;4;25;165;12;0;0
36;com.android.support/appcompat-v7;android.support.v7.graphics;graphics;0.0;0.0;0.33776999999999996;0;203;0;27;0;0;700;0;398;18;23;63;144;60;0;0
37;com.android.support/appcompat-v7;android.support.v7.text;text;0.25;0.43902399999999997;0.43902399999999997;18;18;1;1;23;49;49;1;23;1;1;3;2;3;1;0
38;com.android.support/appcompat-v7;android.support.v7.view;view;0.318519;0.31506;0.249349;523;2010;43;123;1137;1923;9512;34;6051;328;162;792;2509;689;12;0
39;com.android.support/appcompat-v7;android.support.v7.widget;widget;0.467492;0.275267;0.275267;6877;6877;453;453;18106;28553;28553;364;18106;745;364;1742;8570;1250;164;294
40;com.android.support/appcompat-v7;android.support.v7.content.res;res;1.0;0.330544;0.330544;158;158;3;3;320;555;555;4;320;7;4;25;165;12;4;10
41;com.android.support/appcompat-v7;android.support.v7.graphics.drawable;drawable;0.428571;0.33776999999999996;0.33776999999999996;203;203;27;27;398;700;700;23;398;18;23;63;144;60;2;2
42;com.android.support/appcompat-v7;android.support.v7.view.menu;menu;0.185615;0.232307;0.232307;1487;1487;80;80;4914;7589;7589;128;4914;245;128;643;2095;554;39;24
43;com.fasterxml.jackson.core/jackson-annotations;<root_package>;<root_package>;0.0;0.0;0.518519;0;2366;0;161;0;0;5123;0;2197;132;34;328;669;272;0;0
44;com.fasterxml.jackson.core/jackson-annotations;com;com;0.0;0.0;0.518519;0;2366;0;161;0;0;5123;0;2197;132;34;328;669;272;0;0
45;com.fasterxml.jackson.core/jackson-annotations;com.fasterxml;fasterxml;0.0;0.0;0.518519;0;2366;0;161;0;0;5123;0;2197;132;34;328;669;272;0;0
46;com.fasterxml.jackson.core/jackson-annotations;com.fasterxml.jackson;jackson;0.0;0.0;0.518519;0;2366;0;161;0;0;5123;0;2197;132;34;328;669;272;0;0
47;com.fasterxml.jackson.core/jackson-annotations;com.fasterxml.jackson.annotation;annotation;0.48059700000000005;0.518519;0.518519;2366;2366;161;161;2197;5123;5123;34;2197;132;34;328;669;272;18;1071
48;com.fasterxml.jackson.core/jackson-databind;<root_package>;<root_package>;0.0;0.0;0.350734;0;32156;0;2652;0;0;102680;0;59526;1821;875;6592;25460;5243;0;0
49;com.fasterxml.jackson.core/jackson-databind;com;com;0.0;0.0;0.350734;0;32156;0;2652;0;0;102680;0;59526;1821;875;6592;25460;5243;0;0
50;com.fasterxml.jackson.core/jackson-databind;com.fasterxml;fasterxml;0.0;0.0;0.350734;0;32156;0;2652;0;0;102680;0;59526;1821;875;6592;25460;5243;0;0
51;com.fasterxml.jackson.core/jackson-databind;com.fasterxml.jackson;jackson;0.0;0.0;0.350734;0;32156;0;2652;0;0;102680;0;59526;1821;875;6592;25460;5243;0;0
52;com.fasterxml.jackson.core/jackson-databind;com.fasterxml.jackson.databind;databind;0.710674;0.570645;0.350734;9265;32156;759;2652;6971;17973;102680;159;59526;1821;875;6592;25460;5243;42;0
53;com.fasterxml.jackson.core/jackson-databind;com.fasterxml.jackson.databind.annotation;annotation;0.9629629999999999;0.699839;0.699839;436;436;52;52;187;698;698;0;187;7;0;41;3;41;1;84
54;com.fasterxml.jackson.core/jackson-databind;com.fasterxml.jackson.databind.cfg;cfg;0.49326099999999995;0.439675;0.439675;1895;1895;183;183;2415;5006;5006;84;2415;148;84;408;900;352;21;56
55;com.fasterxml.jackson.core/jackson-databind;com.fasterxml.jackson.databind.deser;deser;0.551532;0.35435500000000003;0.278475;3759;7215;198;432;6849;11523;28534;72;18694;516;188;1442;8750;953;25;0
56;com.fasterxml.jackson.core/jackson-databind;com.fasterxml.jackson.databind.exc;exc;0.525;0.363118;0.363118;191;191;21;21;335;605;605;12;335;18;12;41;104;31;9;51
57;com.fasterxml.jackson.core/jackson-databind;com.fasterxml.jackson.databind.ext;ext;0.214286;0.22794099999999998;0.18675899999999998;93;189;6;16;315;483;1225;1;823;41;4;72;225;54;8;0
58;com.fasterxml.jackson.core/jackson-databind;com.fasterxml.jackson.databind.introspect;introspect;0.368607;0.26237699999999997;0.26237699999999997;2300;2300;209;209;6466;9866;9866;141;6466;178;141;718;2948;567;48;177
59;com.fasterxml.jackson.core/jackson-databind;com.fasterxml.jackson.databind.jsonFormatVisitors;jsonFormatVisitors;0.4;0.446809;0.446809;231;231;36;36;286;628;628;5;286;27;5;65;25;64;11;61
60;com.fasterxml.jackson.core/jackson-databind;com.fasterxml.jackson.databind.jsontype;jsontype;0.709677;0.539535;0.357829;464;1081;44;82;396;968;3431;12;1940;47;38;208;794;160;5;0
61;com.fasterxml.jackson.core/jackson-databind;com.fasterxml.jackson.databind.module;module;0.5362319999999999;0.35;0.35;364;364;37;37;676;1173;1173;2;676;30;2;69;255;63;6;85
62;com.fasterxml.jackson.core/jackson-databind;com.fasterxml.jackson.databind.node;node;0.402256;0.350643;0.350643;1472;1472;214;214;2726;4927;4927;34;2726;60;34;561;1021;540;25;137
63;com.fasterxml.jackson.core/jackson-databind;com.fasterxml.jackson.databind.ser;ser;0.663317;0.387205;0.28756;2070;4519;132;330;3276;5858;17511;37;11196;283;79;989;4655;709;18;0
64;com.fasterxml.jackson.core/jackson-databind;com.fasterxml.jackson.databind.type;type;0.37401599999999996;0.306421;0.306421;1131;1131;95;95;2560;4178;4178;40;2560;82;40;310;1153;250;19;59
65;com.fasterxml.jackson.core/jackson-databind;com.fasterxml.jackson.databind.util;util;0.451456;0.305165;0.305165;1867;1867;186;186;4251;6925;6925;89;4251;150;89;510;1973;439;48;81
66;com.fasterxml.jackson.core/jackson-databind;com.fasterxml.jackson.databind.deser.impl;impl;0.369231;0.252324;0.252324;1140;1140;96;96;3378;5124;5124;50;3378;153;50;326;1417;267;40;25
67;com.fasterxml.jackson.core/jackson-databind;com.fasterxml.jackson.databind.deser.std;std;0.38655500000000004;0.214783;0.214783;2316;2316;138;138;8467;11887;11887;66;8467;249;66;610;3895;354;77;102
68;com.fasterxml.jackson.core/jackson-databind;com.fasterxml.jackson.databind.ext.jdk8;jdk8;0.21276599999999998;0.15894;0.15894;96;96;10;10;508;742;742;3;508;23;3;43;134;34;13;0
69;com.fasterxml.jackson.core/jackson-databind;com.fasterxml.jackson.databind.jsontype.impl;impl;0.306452;0.285516;0.285516;617;617;38;38;1544;2463;2463;26;1544;41;26;151;635;105;19;10
70;com.fasterxml.jackson.core/jackson-databind;com.fasterxml.jackson.databind.ser.impl;impl;0.391061;0.23490999999999998;0.23490999999999998;755;755;70;70;2459;3656;3656;5;2459;92;5;248;939;185;34;35
71;com.fasterxml.jackson.core/jackson-databind;com.fasterxml.jackson.databind.ser.std;std;0.324873;0.236758;0.236758;1694;1694;128;128;5461;7997;7997;37;5461;128;37;466;2255;347;66;128
72;com.google.code.gson/gson;<root_package>;<root_package>;0.0;0.0;0.405013;0;5526;0;327;0;0;14926;0;8118;342;93;795;3935;616;0;0
73;com.google.code.gson/gson;com;com;0.0;0.0;0.405013;0;5526;0;327;0;0;14926;0;8118;342;93;795;3935;616;0;0
74;com.google.code.gson/gson;com.google;google;0.0;0.0;0.405013;0;5526;0;327;0;0;14926;0;8118;342;93;795;3935;616;0;0
75;com.google.code.gson/gson;com.google.gson;gson;0.908257;0.6125520000000001;0.405013;2811;5526;198;327;1778;4956;14926;54;8118;342;93;795;3935;616;30;0
76;com.google.code.gson/gson;com.google.gson.annotations;annotations;1.0;0.832061;0.832061;327;327;7;7;66;420;420;0;66;0;0;8;0;2;0;256
77;com.google.code.gson/gson;com.google.gson.internal;internal;0.48780500000000004;0.258839;0.230528;776;1397;40;66;2222;3372;6742;23;4663;197;32;444;2279;334;53;0
78;com.google.code.gson/gson;com.google.gson.reflect;reflect;0.769231;0.391753;0.391753;114;114;10;10;177;327;327;5;177;3;5;20;88;12;1;36
79;com.google.code.gson/gson;com.google.gson.stream;stream;0.92;0.37948899999999997;0.37948899999999997;877;877;46;46;1434;2481;2481;2;1434;73;2;74;825;46;4;111
80;com.google.code.gson/gson;com.google.gson.internal.bind;bind;0.216867;0.161178;0.183948;416;534;18;23;2165;2841;3194;6;2369;118;6;202;1123;170;66;0
81;com.google.code.gson/gson;com.google.gson.internal.reflect;reflect;1.0;0.5471699999999999;0.5471699999999999;87;87;3;3;72;176;176;3;72;4;3;7;24;4;3;0
